date_iso,day_name,time_local,content_type,pillar,idea,cta
2025-08-15,Friday,12:00,Carousel,3fd6,Step-by-step 3fd6 guide in 5-7 slides,Double-tap if this helped
2025-08-15,Friday,16:00,Story,3fd6,Casual story moment highlighting 3fd6,Comment your thoughts
2025-08-16,Saturday,14:00,Story,3fd6,Casual story moment highlighting 3fd6,Follow for more like this
2025-08-17,Sunday,10:00,Story,3fd6,Casual story moment highlighting 3fd6,Try this and tag me
2025-08-17,Sunday,15:00,Reel,3fd6,Quick 3fd6 tip in 15 seconds with on-screen captions,Try this and tag me
2025-08-18,Monday,09:00,Reel,3fd6,Quick 3fd6 tip in 15 seconds with on-screen captions,Comment your thoughts
2025-08-18,Monday,12:00,Story,3fd6,Casual story moment highlighting 3fd6,Comment your thoughts
2025-08-19,Tuesday,09:00,Story,3fd6,Casual story moment highlighting 3fd6,Double-tap if this helped
2025-08-20,Wednesday,08:00,Story,3fd6,Casual story moment highlighting 3fd6,Comment your thoughts
2025-08-20,Wednesday,12:00,Carousel,3fd6,Step-by-step 3fd6 guide in 5-7 slides,Follow for more like this
2025-08-21,Thursday,17:00,Story,3fd6,Casual story moment highlighting 3fd6,Double-tap if this helped
2025-08-22,Friday,12:00,Story,3fd6,Casual story moment highlighting 3fd6,Comment your thoughts
2025-08-23,Saturday,10:00,Carousel,3fd6,Step-by-step 3fd6 guide in 5-7 slides,Share with a friend
2025-08-23,Saturday,14:00,Story,3fd6,Casual story moment highlighting 3fd6,Double-tap if this helped
2025-08-24,Sunday,15:00,Story,3fd6,Casual story moment highlighting 3fd6,Comment your thoughts
2025-08-24,Sunday,19:00,Reel,3fd6,Quick 3fd6 tip in 15 seconds with on-screen captions,Save this for later
2025-08-25,Monday,09:00,Story,3fd6,Casual story moment highlighting 3fd6,Comment your thoughts
2025-08-26,Tuesday,09:00,Story,3fd6,Casual story moment highlighting 3fd6,Share with a friend
2025-08-26,Tuesday,13:00,Reel,3fd6,Quick 3fd6 tip in 15 seconds with on-screen captions,Comment your thoughts
2025-08-27,Wednesday,18:00,Story,3fd6,Casual story moment highlighting 3fd6,Share with a friend
2025-08-28,Thursday,09:00,Photo,3fd6,Before-and-after or behind-the-scenes related to 3fd6,Follow for more like this
2025-08-28,Thursday,17:00,Story,3fd6,Casual story moment highlighting 3fd6,Double-tap if this helped
2025-08-29,Friday,09:00,Reel,3fd6,Quick 3fd6 tip in 15 seconds with on-screen captions,Share with a friend
2025-08-29,Friday,12:00,Story,3fd6,Casual story moment highlighting 3fd6,Follow for more like this
2025-08-30,Saturday,10:00,Photo,3fd6,Before-and-after or behind-the-scenes related to 3fd6,Follow for more like this
2025-08-30,Saturday,14:00,Story,3fd6,Casual story moment highlighting 3fd6,Share with a friend
2025-08-31,Sunday,15:00,Carousel,3fd6,Step-by-step 3fd6 guide in 5-7 slides,Save this for later
2025-08-31,Sunday,19:00,Story,3fd6,Casual story moment highlighting 3fd6,Comment your thoughts
2025-09-01,Monday,09:00,Story,3fd6,Casual story moment highlighting 3fd6,Try this and tag me
2025-09-01,Monday,18:00,Reel,3fd6,Quick 3fd6 tip in 15 seconds with on-screen captions,Follow for more like this
2025-09-02,Tuesday,09:00,Story,3fd6,Casual story moment highlighting 3fd6,Comment your thoughts
2025-09-03,Wednesday,08:00,Story,3fd6,Casual story moment highlighting 3fd6,Save this for later
2025-09-04,Thursday,09:00,Story,3fd6,Casual story moment highlighting 3fd6,Save this for later
2025-09-05,Friday,09:00,Story,3fd6,Casual story moment highlighting 3fd6,Double-tap if this helped
2025-09-05,Friday,12:00,Photo,3fd6,Before-and-after or behind-the-scenes related to 3fd6,Double-tap if this helped
2025-09-06,Saturday,10:00,Story,3fd6,Casual story moment highlighting 3fd6,Comment your thoughts
2025-09-07,Sunday,10:00,Reel,3fd6,Quick 3fd6 tip in 15 seconds with on-screen captions,Double-tap if this helped
2025-09-07,Sunday,19:00,Story,3fd6,Casual story moment highlighting 3fd6,Save this for later
2025-09-08,Monday,12:00,Story,3fd6,Casual story moment highlighting 3fd6,Comment your thoughts
2025-09-09,Tuesday,09:00,Story,3fd6,Casual story moment highlighting 3fd6,Share with a friend
2025-09-09,Tuesday,19:00,Reel,3fd6,Quick 3fd6 tip in 15 seconds with on-screen captions,Follow for more like this
2025-09-10,Wednesday,12:00,Story,3fd6,Casual story moment highlighting 3fd6,Follow for more like this
2025-09-11,Thursday,09:00,Story,3fd6,Casual story moment highlighting 3fd6,Try this and tag me
2025-09-11,Thursday,17:00,Photo,3fd6,Before-and-after or behind-the-scenes related to 3fd6,Comment your thoughts
2025-09-12,Friday,09:00,Story,3fd6,Casual story moment highlighting 3fd6,Save this for later
2025-09-12,Friday,16:00,Reel,3fd6,Quick 3fd6 tip in 15 seconds with on-screen captions,Save this for later
2025-09-13,Saturday,14:00,Reel,3fd6,Quick 3fd6 tip in 15 seconds with on-screen captions,Share with a friend
2025-09-13,Saturday,18:00,Story,3fd6,Casual story moment highlighting 3fd6,Try this and tag me
